,Vg,Gsd_0.03_K,Gsd_0.5_K,Gsd_1.0_K,Gsd_9.71_K,Gsd_20.01_K,Gsd_29.0_K,Gsd_29.08_K,Gsd_59.48_K,Gsd_72.82_K,Gsd_185.76_K,Gsd_188.53_K,Gsd_205.29_K,Gsd_238.49_K,Gsd_275.6_K,Gsd_283.15_K,Gsd_294.48_K,Gsd_294.68_K,Gsd_294.9_K,Gsd_295.13_K,Gsd_295.31_K,Gsd_295.49_K
0,-20.0,-2.945604039262275e-12,5.862975452400947e-12,-4.069946434060044e-10,-6.744868597601635e-11,3.2557614010470504e-10,-7.839071095014412e-11,-1.759438466440575e-10,2.0022641506592805e-10,2.864488566310228e-10,3.9754486959409186e-10,3.6069439060555565e-10,1.1619008851902497e-09,5.306554299821156e-10,6.836960288603133e-10,5.814120460403676e-10,1.1720185174687389e-09,8.519797365233438e-10,7.544134256022006e-10,6.930651828384263e-10,5.689012281156527e-10,3.357944687488549e-10
1,-19.960899315738025,-6.923581123360127e-12,3.382331402878993e-11,8.493628857616134e-12,-1.5499398293720206e-11,3.066188724389974e-11,9.290855492775877e-11,-1.4818991993024505e-11,1.9725508797554897e-11,2.9028598427550956e-10,3.4835798757481813e-10,3.69866857282363e-10,1.1076296208201529e-09,5.639344817104281e-10,3.5469872180695807e-10,5.814120460403676e-10,1.1720185174687389e-09,8.519797365233438e-10,7.544134256022006e-10,6.930651828384263e-10,5.689012281156527e-10,3.357944687488549e-10
2,-19.92179863147605,-2.893216831587513e-12,2.179872467420865e-11,-1.3123026745570223e-10,-1.6351521703294034e-10,1.6780218451864624e-11,1.3073588278959735e-11,2.728777467212391e-11,1.9542310419609606e-11,2.212619177361424e-10,3.4407321594838065e-10,1.115998085028464e-10,1.188115192661167e-09,5.326753175661157e-10,4.91255544812719e-10,5.814120460403676e-10,1.1720185174687389e-09,8.519797365233438e-10,7.544134256022006e-10,6.930651828384263e-10,5.689012281156527e-10,3.357944687488549e-10
3,-19.882697947214076,3.724197140840254e-12,-1.0293741127818342e-10,-1.2168199315018942e-10,-1.5230874645992133e-11,-2.7875013304045032e-12,8.05884640847005e-12,-5.578955228978989e-11,1.725860462556966e-11,2.0221932480661737e-10,4.0016611212478485e-10,2.2135194844531747e-10,1.0461323725242086e-09,4.992921188147133e-10,5.549041192509302e-10,5.994765353061018e-10,1.5946578003470735e-09,1.0544164525536812e-09,1.410631893801386e-09,5.211767961535232e-10,5.703479933799367e-10,5.086383729949433e-10
4,-19.8435972629521,1.13231654319295e-11,-3.997238009770461e-11,4.109101950156607e-11,-2.753066937024208e-10,1.1512637723946338e-12,-1.3903000110119737e-11,-9.173721462178618e-12,7.341706323432159e-11,5.139928474724383e-10,4.5135311888977135e-10,6.949115966091664e-11,1.1396836902503099e-09,5.57057327572535e-10,6.950195079883735e-10,5.994765353061018e-10,1.5946578003470735e-09,1.0544164525536812e-09,1.410631893801386e-09,5.211767961535232e-10,5.703479933799367e-10,5.086383729949433e-10
5,-19.804496578690127,-8.075158592737488e-12,-3.4864156857193567e-12,-2.5107588510620354e-11,-3.595832799019918e-11,2.6234384005334465e-11,-1.4928158149079673e-11,2.5021008455464565e-11,3.0354465310152265e-11,5.168430879742829e-10,4.776947868769386e-10,1.972968095148025e-10,1.2488840391902987e-09,2.937407166802312e-10,6.765283923643485e-10,5.994765353061018e-10,1.5946578003470735e-09,1.0544164525536812e-09,1.410631893801386e-09,5.211767961535232e-10,5.703479933799367e-10,5.086383729949433e-10
6,-19.765395894428153,-3.700669952402812e-12,-4.987764033993739e-13,1.914799473372478e-11,7.596239136804842e-11,2.6446442401664828e-11,-3.353847819679444e-11,-9.345940484099958e-11,7.808266162498882e-11,3.4727354101843794e-10,6.669001256138837e-10,2.0113111390008735e-10,1.0690930266315606e-09,4.363270876342342e-10,5.149725196151734e-10,5.994765353061018e-10,1.5946578003470735e-09,1.0544164525536812e-09,1.410631893801386e-09,5.211767961535232e-10,5.703479933799367e-10,5.086383729949433e-10
7,-19.726295210166178,-1.2576066660931968e-11,1.884245497760901e-11,9.430826581346396e-11,-7.732916419250361e-12,1.72187652511597e-11,-4.335841311218942e-11,7.791640282271879e-11,2.2189589704369874e-11,2.356445588010771e-10,2.6871500278793164e-10,2.1803806547679476e-10,9.47323826036515e-10,5.679695514381823e-10,5.635847108357876e-10,5.994765353061018e-10,1.5946578003470735e-09,1.0544164525536812e-09,1.410631893801386e-09,5.211767961535232e-10,5.703479933799367e-10,5.086383729949433e-10
8,-19.687194525904204,2.4640495388217287e-11,4.8585213379010835e-11,-5.556118170833954e-11,-4.905262019668987e-11,1.3828340495969528e-11,1.5888694846639835e-11,3.1996976276728074e-14,4.580712292312699e-11,3.290456162130451e-10,5.262680798123856e-10,9.596834425689368e-11,1.3197670673418541e-09,5.352811889975203e-10,6.430946885820517e-10,5.129523183367483e-10,1.3501525885419365e-09,1.3043115864683132e-09,8.190084204232048e-10,5.119811159809977e-10,3.136117803525262e-10,9.489142639996122e-10
9,-19.64809384164223,5.93716452099085e-11,6.895473975686943e-11,-1.0122588671717287e-10,7.245652654017076e-11,1.1794963992019823e-11,1.4719864104604764e-11,-1.6012918401590012e-11,3.591848861664204e-11,3.5620226602047533e-10,5.296926974159081e-10,1.5657250046355298e-10,1.1125750359089979e-09,8.416864345697666e-10,4.792726770059188e-10,5.129523183367483e-10,1.3501525885419365e-09,1.3043115864683132e-09,8.190084204232048e-10,5.119811159809977e-10,3.136117803525262e-10,9.489142639996122e-10
